Date,Time,PV_W_078,PV_Wh_078
2021/05/29,00:00:00,14,0
2021/05/29,00:01:00,13,0
2021/05/29,00:02:00,12,0
2021/05/29,00:03:00,15,0
2021/05/29,00:04:00,13,0
2021/05/29,00:05:00,12,0
2021/05/29,00:06:00,13,0
2021/05/29,00:07:00,13,0
2021/05/29,00:08:00,13,0
2021/05/29,00:09:00,14,0
2021/05/29,00:10:00,12,0
2021/05/29,00:11:00,14,0
2021/05/29,00:12:00,14,0
2021/05/29,00:13:00,13,0
2021/05/29,00:14:00,13,0
2021/05/29,00:15:00,15,0
2021/05/29,00:16:00,11,0
2021/05/29,00:17:00,11,0
2021/05/29,00:18:00,13,0
2021/05/29,00:19:00,14,0
2021/05/29,00:20:00,13,31
2021/05/29,00:21:00,13,31
2021/05/29,00:22:00,13,31
2021/05/29,00:23:00,11,31
2021/05/29,00:24:00,11,31
2021/05/29,00:25:00,14,31
2021/05/29,00:26:00,15,31
2021/05/29,00:27:00,12,31
2021/05/29,00:28:00,11,31
2021/05/29,00:29:00,14,31
2021/05/29,00:30:00,12,31
2021/05/29,00:31:00,18,31
2021/05/29,00:32:00,13,31
2021/05/29,00:33:00,14,31
2021/05/29,00:34:00,13,31
2021/05/29,00:35:00,12,31
2021/05/29,00:36:00,12,31
2021/05/29,00:37:00,15,31
2021/05/29,00:38:00,11,31
2021/05/29,00:39:00,13,31
2021/05/29,00:40:00,14,31
2021/05/29,00:41:00,13,31
2021/05/29,00:42:00,12,31
2021/05/29,00:43:00,12,31
2021/05/29,00:44:00,13,31
2021/05/29,00:45:00,10,31
2021/05/29,00:46:00,13,31
2021/05/29,00:47:00,13,31
2021/05/29,00:48:00,14,31
2021/05/29,00:49:00,13,31
2021/05/29,00:50:00,14,31
2021/05/29,00:51:00,13,31
2021/05/29,00:52:00,11,31
2021/05/29,00:53:00,12,31
2021/05/29,00:54:00,12,31
2021/05/29,00:55:00,11,31
2021/05/29,00:56:00,12,31
2021/05/29,00:57:00,14,31
2021/05/29,00:58:00,11,31
2021/05/29,00:59:00,10,31
2021/05/29,01:00:00,11,31
2021/05/29,01:01:00,13,31
2021/05/29,01:02:00,13,31
2021/05/29,01:03:00,15,31
2021/05/29,01:04:00,13,31
2021/05/29,01:05:00,12,31
2021/05/29,01:06:00,15,31
